neighborhood,home_type,predicted_price
Midtown,MultiFamily5Plus,1889839.69629
Midtown,Triplex,8060214.52857
Midtown,Miscellaneous,8815509.80902
Morningside Heights,MultiFamily2To4,1906295.06879
Morningside Heights,Cooperative,8604659.2
Morningside Heights,Unknown,733273.115476
Morningside Heights,Condominium,10756322.7429
Morningside Heights,SingleFamily,3225550.44286
Morningside Heights,Duplex,3027150.51429
Morningside Heights,Townhouse,3486137.49451
Morningside Heights,Quadruplex,2459669.8915
Morningside Heights,Triplex,3014596.08571
Murray Hill,MultiFamily2To4,3137593.25875
Murray Hill,Apartment - 1 bedrooms,3271809.25714
Murray Hill,Cooperative,8987682.23899
Murray Hill,Unknown,1033726.76145
Murray Hill,Condominium,1680225.95238
Murray Hill,SingleFamily,7710516.03333
Murray Hill,Duplex,8196143.66857
Murray Hill,Townhouse,7332758.34286
Murray Hill,Quadruplex,2948226.38571
Murray Hill,Triplex,8423363.225
Murray Hill,Miscellaneous,9168549.84286
North Sutton Area,MultiFamily2To4,2223848.09871
North Sutton Area,Cooperative,6647158.63929
North Sutton Area,Condominium,2121768.01429
North Sutton Area,SingleFamily,8995874.12857
North Sutton Area,Duplex,11591910.5429
North Sutton Area,Townhouse,12809847.0571
North Sutton Area,Quadruplex,8400755.67143
North Sutton Area,MultiFamily5Plus,1341552.46869
North Sutton Area,Triplex,5680810.18571
Soho,MultiFamily2To4,7887903.21429
Soho,Apartment - 1 bedrooms,2645584.69543
Soho,Cooperative,9933342.63286
Soho,Condominium,7396890.45714
Soho,SingleFamily,10210530.6592
Soho,Duplex,10467151.1964
Soho,Townhouse,8498526.43929
Soho,Quadruplex,9506004.98571
Soho,Triplex,9100474.42857
Soho,Miscellaneous,13809867.8286
Tribeca,MultiFamily2To4,3897641.95346
Tribeca,Apartment - 1 bedrooms,15198230.5929
Tribeca,Cooperative,12610378.6143
Tribeca,Unknown,5931265.58571
Tribeca,Condominium,7175753.64286
Tribeca,SingleFamily,12209914.5441
Tribeca,Duplex,14316109.1571
Tribeca,Townhouse,15796571.8571
Tribeca,Triplex,10298700.4984
Upper East Side,MultiFamily2To4,5842038.55143
Upper East Side,Apartment - 1 bedrooms,1580637.57143
Upper East Side,Cooperative,8889732.57455
Upper East Side,Unknown,2856969.79181
Upper East Side,Condominium,6592619.78571
Upper East Side,SingleFamily,13968582.005
Upper East Side,Duplex,13148224.794
Upper East Side,Townhouse,15191990.5642
Upper East Side,Quadruplex,10783915.581
Upper East Side,Triplex,11711700.5363
Upper East Side,Miscellaneous,19361898.7571
Upper West Side,MultiFamily2To4,2798438.55394
Upper West Side,Apartment - 1 bedrooms,1709811.38929
Upper West Side,Cooperative,8469036.11429
Upper West Side,Unknown,1181543.5419
Upper West Side,Condominium,2051016.71429
Upper West Side,SingleFamily,10099312.4286
Upper West Side,Duplex,7034246.72857
Upper West Side,Townhouse,3863904.57143
Upper West Side,Quadruplex,6865549.82857
Upper West Side,MultiFamily5Plus,2097955.18726
